,iso3,loage,hiage,women,year
18591,ARG,85,89,88,1990
18592,ARG,90,94,25,1990
18593,ARG,95,99,4,1990
18595,ARG,15,19,1651,1995
18596,ARG,20,24,1398,1995
18597,ARG,25,29,1237,1995
18598,ARG,30,34,1175,1995
18599,ARG,35,39,1124,1995
18600,ARG,40,44,1059,1995
18601,ARG,45,49,947,1995
18602,ARG,50,54,830,1995
18603,ARG,55,59,744,1995
18604,ARG,60,64,700,1995
18605,ARG,65,69,647,1995
18606,ARG,70,74,529,1995
18607,ARG,75,79,386,1995
18608,ARG,80,84,248,1995
18612,ARG,80,NA,NA,1995
18609,ARG,85,89,115,1995
18610,ARG,90,94,35,1995
18611,ARG,95,99,7,1995
18613,ARG,15,19,1607,2000
18614,ARG,20,24,1642,2000
18615,ARG,25,29,1389,2000
18616,ARG,30,34,1229,2000
18617,ARG,35,39,1167,2000
18618,ARG,40,44,1114,2000
18619,ARG,45,49,1045,2000
18620,ARG,50,54,929,2000
18621,ARG,55,59,807,2000
18622,ARG,60,64,714,2000
18623,ARG,65,69,656,2000
18624,ARG,70,74,584,2000
18625,ARG,75,79,446,2000
18626,ARG,80,84,286,2000
18630,ARG,80,NA,NA,2000
18627,ARG,85,89,146,2000
18628,ARG,90,94,51,2000
18629,ARG,95,99,11,2000
18631,ARG,15,19,1663,2005
18632,ARG,20,24,1598,2005
18633,ARG,25,29,1632,2005
18634,ARG,30,34,1379,2005
18635,ARG,35,39,1220,2005
18636,ARG,40,44,1156,2005
18637,ARG,45,49,1100,2005
18638,ARG,50,54,1026,2005
18639,ARG,55,59,903,2005
18640,ARG,60,64,775,2005
18641,ARG,65,69,670,2005
18642,ARG,70,74,595,2005
18643,ARG,75,79,497,2005
18644,ARG,80,84,338,2005
18648,ARG,80,NA,NA,2005
18645,ARG,85,89,177,2005
18646,ARG,90,94,70,2005
18647,ARG,95,99,18,2005
18649,ARG,15,19,1704,2010
18650,ARG,20,24,1654,2010
18651,ARG,25,29,1588,2010
18652,ARG,30,34,1622,2010
18653,ARG,35,39,1370,2010
18654,ARG,40,44,1209,2010
18655,ARG,45,49,1143,2010
18656,ARG,50,54,1082,2010
18657,ARG,55,59,1001,2010
18658,ARG,60,64,871,2010
18659,ARG,65,69,730,2010
18660,ARG,70,74,610,2010
18661,ARG,75,79,509,2010
18662,ARG,80,84,385,2010
18666,ARG,80,NA,NA,2010
18663,ARG,85,89,222,2010
18664,ARG,90,94,90,2010
18665,ARG,95,99,24,2010
18667,ARG,15,19,1691,2015
18668,ARG,20,24,1703,2015
18669,ARG,25,29,1651,2015
18670,ARG,30,34,1584,2015
18671,ARG,35,39,1615,2015
18672,ARG,40,44,1361,2015
18673,ARG,45,49,1198,2015
18674,ARG,50,54,1127,2015
18675,ARG,55,59,1059,2015
18676,ARG,60,64,968,2015
18677,ARG,65,69,825,2015
18678,ARG,70,74,669,2015
18679,ARG,75,79,527,2015
18680,ARG,80,84,401,2015
18684,ARG,80,NA,NA,2015
