iso3,countryname,region,super_region,year,age_group,ever_had_sex
SOM,Somalia,Sub-Saharan,3,2005,45,0.9979229
SOM,Somalia,Sub-Saharan,3,2006,15,0.4296992
SOM,Somalia,Sub-Saharan,3,2006,20,0.9047686
SOM,Somalia,Sub-Saharan,3,2006,25,0.9840343
SOM,Somalia,Sub-Saharan,3,2006,30,0.9952246
SOM,Somalia,Sub-Saharan,3,2006,35,0.9972317
SOM,Somalia,Sub-Saharan,3,2006,40,0.9984665
SOM,Somalia,Sub-Saharan,3,2006,45,0.9979328
SOM,Somalia,Sub-Saharan,3,2007,15,0.428374
SOM,Somalia,Sub-Saharan,3,2007,20,0.9045555
SOM,Somalia,Sub-Saharan,3,2007,25,0.9840854
SOM,Somalia,Sub-Saharan,3,2007,30,0.9952538
SOM,Somalia,Sub-Saharan,3,2007,35,0.9972512
SOM,Somalia,Sub-Saharan,3,2007,40,0.9984753
SOM,Somalia,Sub-Saharan,3,2007,45,0.9979367
SOM,Somalia,Sub-Saharan,3,2008,15,0.4268166
SOM,Somalia,Sub-Saharan,3,2008,20,0.9042938
SOM,Somalia,Sub-Saharan,3,2008,25,0.9841034
SOM,Somalia,Sub-Saharan,3,2008,30,0.9952763
SOM,Somalia,Sub-Saharan,3,2008,35,0.9972673
SOM,Somalia,Sub-Saharan,3,2008,40,0.9984808
SOM,Somalia,Sub-Saharan,3,2008,45,0.9979375
SOM,Somalia,Sub-Saharan,3,2009,15,0.4251915
SOM,Somalia,Sub-Saharan,3,2009,20,0.9040011
SOM,Somalia,Sub-Saharan,3,2009,25,0.9840993
SOM,Somalia,Sub-Saharan,3,2009,30,0.9952952
SOM,Somalia,Sub-Saharan,3,2009,35,0.9972785
SOM,Somalia,Sub-Saharan,3,2009,40,0.9984845
SOM,Somalia,Sub-Saharan,3,2009,45,0.997936
SOM,Somalia,Sub-Saharan,3,2010,15,0.4236798
SOM,Somalia,Sub-Saharan,3,2010,20,0.9037894
SOM,Somalia,Sub-Saharan,3,2010,25,0.9841005
SOM,Somalia,Sub-Saharan,3,2010,30,0.9953141
SOM,Somalia,Sub-Saharan,3,2010,35,0.9972874
SOM,Somalia,Sub-Saharan,3,2010,40,0.9984871
SOM,Somalia,Sub-Saharan,3,2010,45,0.9979346
SRB,Serbia,"Europe, Cen",2,1980,15,0.1629939
SRB,Serbia,"Europe, Cen",2,1980,20,0.7373339
SRB,Serbia,"Europe, Cen",2,1980,25,0.8433553
SRB,Serbia,"Europe, Cen",2,1980,30,0.9139764
SRB,Serbia,"Europe, Cen",2,1980,35,0.9632901
SRB,Serbia,"Europe, Cen",2,1980,40,0.9619374
SRB,Serbia,"Europe, Cen",2,1980,45,0.9886316
SRB,Serbia,"Europe, Cen",2,1981,15,0.1609495
SRB,Serbia,"Europe, Cen",2,1981,20,0.7346753
SRB,Serbia,"Europe, Cen",2,1981,25,0.8428892
SRB,Serbia,"Europe, Cen",2,1981,30,0.913776
SRB,Serbia,"Europe, Cen",2,1981,35,0.9630883
SRB,Serbia,"Europe, Cen",2,1981,40,0.9617994
SRB,Serbia,"Europe, Cen",2,1981,45,0.988576
SRB,Serbia,"Europe, Cen",2,1982,15,0.1589989
SRB,Serbia,"Europe, Cen",2,1982,20,0.7322474
SRB,Serbia,"Europe, Cen",2,1982,25,0.8423361
SRB,Serbia,"Europe, Cen",2,1982,30,0.9137654
SRB,Serbia,"Europe, Cen",2,1982,35,0.9628894
SRB,Serbia,"Europe, Cen",2,1982,40,0.9616779
SRB,Serbia,"Europe, Cen",2,1982,45,0.9885241
SRB,Serbia,"Europe, Cen",2,1983,15,0.1570847
SRB,Serbia,"Europe, Cen",2,1983,20,0.7300661
SRB,Serbia,"Europe, Cen",2,1983,25,0.8418224
SRB,Serbia,"Europe, Cen",2,1983,30,0.9138604
SRB,Serbia,"Europe, Cen",2,1983,35,0.9627784
SRB,Serbia,"Europe, Cen",2,1983,40,0.9615654
SRB,Serbia,"Europe, Cen",2,1983,45,0.9884866
SRB,Serbia,"Europe, Cen",2,1984,15,0.1554797
SRB,Serbia,"Europe, Cen",2,1984,20,0.7278468
SRB,Serbia,"Europe, Cen",2,1984,25,0.8413229
SRB,Serbia,"Europe, Cen",2,1984,30,0.9138912
SRB,Serbia,"Europe, Cen",2,1984,35,0.9627225
SRB,Serbia,"Europe, Cen",2,1984,40,0.9614229
SRB,Serbia,"Europe, Cen",2,1984,45,0.9884467
SRB,Serbia,"Europe, Cen",2,1985,15,0.1542988
SRB,Serbia,"Europe, Cen",2,1985,20,0.7258289
SRB,Serbia,"Europe, Cen",2,1985,25,0.8409159
SRB,Serbia,"Europe, Cen",2,1985,30,0.9140998
